#########################################################################
#                                                                       #
# PbWO4 configuration file                                              #
#                                                                       #
#                                                                       #
##--Update      Tigran Armand Rostomyan  09.Aug.2014                    #
#                                                                       #
#########################################################################
#
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
#
Size:   72      1       1       1
RawHits:
#BitPattern: data/TAPS.pat
#
#         ADC#      low  high      ped     MeV/ch    TDC#     low     high      Off      ns/ch      Pos x      y     z (cm)
#
# BLOCK A
#
# 4 PWO Ring 1
Element:   29114  1.000 2000.0   82.384 0.247637 29281M0 -1000.0  1000.0 -5797.72 0.100000    6.543    7.667  145.700
Element:   29116  1.000 2000.0   93.050 0.251109 29282M0 -1000.0  1000.0 -5795.52 0.100000    3.849    7.667  145.700
Element:   29118  1.000 2000.0   90.582 0.251014 29283M0 -1000.0  1000.0 -5819.66 0.100000    3.849   10.333  145.700
#
# BLOCK F
#
# 4 PWO Ring 1
Element:   29120  1.000 2000.0   88.877 0.247022 29284M0 -1000.0  1000.0 -5809.36 0.100000    1.347    7.333  145.700
Element:   29122  1.000 2000.0   86.128 0.249935 29285M0 -1000.0  1000.0 -5809.66 0.100000    1.347    4.667  145.700
Element:   29124  1.000 2000.0   88.904 0.246262 29286M0 -1000.0  1000.0 -5798.71 0.100000   -1.347    4.667  145.700
Element:   29126  1.000 2000.0   86.305 0.242927 29287M0 -1000.0  1000.0 -5808.20 0.100000   -1.347    7.333  145.700
#
# 4 PWO Ring 2
Element:   29128  1.000 2000.0   98.193 2.026533 29288M0 -1000.0  1000.0 -5814.38 0.100000    1.347   13.333  145.700
Element:   29130  1.000 2000.0   76.809 0.249974 29289M0 -1000.0  1000.0 -5791.52 0.100000    1.347   10.667  145.700
Element:   29132  1.000 2000.0   81.640 0.254329 29290M0 -1000.0  1000.0 -5798.13 0.100000   -1.347   10.667  145.700
Element:   29134  1.000 2000.0   81.127 0.249527 29291M0 -1000.0  1000.0 -5803.46 0.100000   -1.347   13.333  145.700
#
# 4 PWO Ring 2
Element:   29136  1.000 2000.0   85.064 0.240397 29292M0 -1000.0  1000.0 -5796.70 0.100000   -3.849   10.333  145.700
Element:   29138  1.000 2000.0   87.077 0.272205 29293M0 -1000.0  1000.0 -5799.02 0.100000   -3.849    7.667  145.700
Element:   29140  1.000 2000.0   85.489 0.247068 29294M0 -1000.0  1000.0 -5806.01 0.100000   -6.543    7.667  145.700
Element:   29142  1.000 2000.0   92.113 0.244331 29295M0 -1000.0  1000.0 -5805.47 0.100000   -6.543   10.333  145.700
#
##
Initialise:
##
#####################################################################
##      Histograming of basic detector stuff
#####################################################################
Display: 1D	NADChits    72 0 72
Display: 1D	NTDChits    72 0 72
Display: 1D     Nhits       72 0 72
Display: 1D	ADCHits	    72 0 72 
Display: 1D	TDCHits	    72 0 72 
Display: 1D     Hits        72 0 72 
Display: 1D     EnergyOR    500  0 500
Display: 1D     TimeOR      200 -1000 1000
Display: 2D     TimeOR      200 -1000 1000 -1 EnergyOR        500  0 500 -1
Display: 2D     EnergyOR    250 0 500 -1    Hits   72  0 72 -1
Display: 2D     TimeOR      200 -1000 1000 -1    Hits   72  0 72 -1
Display:  2D	 ClTheta     100 0 25 -1    ClPhi  180 -180 180 -1
Display: 1D	 Etot        400 0 800
#Display: 1D     Energy      400  0 400     0 72
