#########################################################################
#                                                                       #
# Veto configuration file for the November 2013 beamtime                #
#                                                                       #
#########################################################################
#
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
Size:  	438    	1       1       1
#RawHits:
#BitPattern: data/TAPS.pat
#
#
#
# Now enter the information for each element....if the number of
# elements is specified as 10 above then there must be 10 element spec lines
# ADCs low,high define in MeV the range of a valid hit.
# ped is the zero-point offset channel and MeV/ch is the ADC conversionsion
# TDCs low, high define in ns the range of a valid hit.
# Off is the time-zero offset channel and ns/ch is the conversion gain.
# Pos 3-vector usually relates to the center of the front face of a crystal
# assuming origin at center of target, beam in z-direction
# with Bene's calib-files
#        ADC#  low  high ped  MeV/ch  TDC#  low/high Off ns/ch  Pos x,y,z (cm)
#
# BLOCK A
#
# 4 PWO Ring 1
Element:   26143  0.100 9999.0   84.38 0.012187   26135 -1000.0  1000.0  3341.57 -0.050000  -46.765    9.000  174.200
Element:   26168  0.100 9999.0   86.19 0.013035   26160 -1000.0  1000.0  3456.28 -0.050000  -46.765    3.000  174.200
Element:   26169  0.100 9999.0   85.49 0.021069   26164 -1000.0  1000.0  3360.42 -0.050000  -46.765   -3.000  174.200
Element:   26170  0.100 9999.0   84.70 0.011242   26161 -1000.0  1000.0  3449.74 -0.050000  -46.765   -9.000  174.200
Element:   26171  0.100 9999.0   90.78 0.011850   26165 -1000.0  1000.0  3473.03 -0.050000  -46.765  -15.000  174.200
Element:   26172  0.100 9999.0   85.28 0.013148   26162 -1000.0  1000.0  3459.63 -0.050000  -46.765  -21.000  174.200
Element:   26173  0.100 9999.0   85.99 0.011994   26166 -1000.0  1000.0  3437.81 -0.050000  -51.962   30.000  174.200
Element:   26174  0.100 9999.0   84.31 0.011059   26163 -1000.0  1000.0  3444.35 -0.050000  -51.962   24.000  174.200
Element:   26175  0.100 9999.0   84.70 0.014276   26167 -1000.0  1000.0  3448.09 -0.050000  -51.962   18.000  174.200
Element:   26200  0.100 9999.0   85.35 0.010993   26192 -1000.0  1000.0  3469.14 -0.050000  -51.962   12.000  174.200
Element:   26201  0.100 9999.0   86.85 0.013096   26196 -1000.0  1000.0  3467.17 -0.050000  -51.962    6.000  174.200
Element:   26202  0.100 9999.0   85.47 0.010739   26193 -1000.0  1000.0  3459.61 -0.050000  -51.962    0.000  174.200
Element:   26203  0.100 9999.0   85.00 0.011176   26197 -1000.0  1000.0  3462.44 -0.050000  -51.962   -6.000  174.200
